"nome", "sobrenome", "email", "datanascimento", "genero", "tiposanguineo", "endereco", "cidade", "estado", "cep","cpf", "frkPlanoSaude"
"Livia", "Lima", "LiviaRodriguesLima@dayrep.com", "3/30/1980", "F", "B+", "Rua Buenos Aires 262", "Rio Verde", "GO", "75906-705","60275397041", "145"
"Nicolas", "Lima", "NicolasPereiraLima@rhyta.com", "8/13/1943", "M", "A-", "Estrada Dona Carlota 1367", "Santa Cruz do Sul", "RS", "96840-040","37776392146", "389"
"Fernanda", "Gomes", "FernandaSantosGomes@rhyta.com", "7/9/1936", "F", "A+", "Quadra QR 501 Conjunto 21 1809", "Samambaia", "DF", "72311-321","50662518802", "45"
"Camila", "Oliveira", "CamilaCorreiaOliveira@rhyta.com", "2/24/1968", "F", "O+", "Rua Maria Dolores 413", "Campinas", "SP", "13054-441","22502242690", "91"
"Luana", "Silva", "LuanaRochaSilva@cuvox.de", "11/14/1963", "F", "O+", "Pra�a Interna 1911", "Goi�nia", "GO", "74430-260","65793659609", "231"
"Vitor", "Gomes", "VitorOliveiraGomes@superrito.com", "12/13/1986", "M", "B+", "Rua Euclides Diogo da Costa 813", "Juiz de Fora", "MG", "36050-310","35118231531", "145"
"Erick", "Araujo", "ErickSousaAraujo@einrot.com", "8/11/1979", "M", "B+", "Rua da Amora 587", "Uberl�ndia", "MG", "38401-532","17983515448", "323"
"T�nia", "Dias", "TaniaSouzaDias@fleckens.hu", "7/29/1943", "F", "AB+", "Rua Van Gogh 346", "Itapevi", "SP", "06683-170","65669234707", "895"
"Carla", "Alves", "CarlaOliveiraAlves@teleworm.us", "9/15/1953", "F", "A+", "Pra�a Jo�o XXIII 1505", "Contagem", "MG", "32210-100","61599612410", "98"
"Bruna", "Rocha", "BrunaCunhaRocha@gustr.com", "2/8/2001", "F", "AB+", "Rua Augusto Comte 211", "Rio de Janeiro", "RJ", "21012-260","82032660709", "895"
"F�bio", "Gomes", "FabioFernandesGomes@teleworm.us", "10/12/1978", "M", "O-", "Rua Sessenta e Cinco 202", "Sorocaba", "SP", "18072-610","30264201825", "145"
"Thiago", "Goncalves", "ThiagoAlmeidaGoncalves@einrot.com", "12/4/1954", "M", "O-", "Rua Lincoln Continentino 66", "Belo Horizonte", "MG", "31170-230","65708525150", "986"
"Matilde", "Pereira", "MatildeFernandesPereira@fleckens.hu", "2/26/1970", "F", "B+", "Rua Fern�o Dias Paes 628", "Tel�maco Borba", "PR", "84269-230","74535737509", "986"
"Lu�s", "Lima", "LuisAraujoLima@cuvox.de", "8/25/1988", "M", "A+", "Rua Jos� Bonif�cio 444", "Goi�nia", "GO", "74523-600","01376415402", "389"
"Danilo", "Cunha", "DaniloAlvesCunha@jourrapide.com", "11/1/1997", "M", "O+", "Rua Quatorze de Novembro 378", "Aparecida de Goi�nia", "GO", "74945-330","47564539372", "986"
"Miguel", "Cunha", "MiguelRochaCunha@einrot.com", "10/21/1960", "M", "O+", "Rua Bartolomeu Bueno da Silva 131", "Guarapuava", "PR", "85050-030","51307208495", "98"
"Arthur", "Cunha", "ArthurRodriguesCunha@teleworm.us", "8/17/1966", "M", "B+", "Rua Itatiaia 118", "Ribeir�o Pires", "SP", "09440-020","63327592322", "986"
"Fernanda", "Cavalcanti", "FernandaRochaCavalcanti@einrot.com", "8/7/1933", "F", "O+", "Rua Gabiroba 373", "Porto Velho", "RO", "78911-460","90624399346", "986"
"Nicole", "Alves", "NicoleMeloAlves@cuvox.de", "9/17/1948", "F", "A+", "Rua Jos� Francisco de Barros 1492", "Sorocaba", "SP", "18017-275","59054735872", "895"
"Aline", "Goncalves", "AlineCardosoGoncalves@rhyta.com", "7/5/1961", "F", "O+", "1� Travessa Dezesseis de Agosto 1194", "Salvador", "BA", "41510-060","06028053929", "98"
"Rafael", "Azevedo", "RafaelCunhaAzevedo@superrito.com", "11/16/1947", "M", "B+", "Rua Moreira de Pinho 181", "Salvador", "BA", "40110-090","97008543883", "98"
"Martim", "Oliveira", "MartimAlvesOliveira@superrito.com", "4/7/1955", "M", "B+", "Rua Adelina Nuss 1127", "Blumenau", "SC", "89027-750","66575302858", "231"
"Bruna", "Souza", "BrunaRibeiroSouza@cuvox.de", "7/16/1989", "F", "O-", "Rua Jos� Ribeiro 1598", "Vila Velha", "ES", "29105-185","47644215425", "231"
"Eduarda", "Souza", "EduardaAraujoSouza@superrito.com", "1/5/1972", "F", "A+", "Vila Messias 1946", "S�o Lu�s", "MA", "65062-205","16972752302", "45"
"Sofia", "Gomes", "SofiaMeloGomes@fleckens.hu", "11/15/1969", "F", "O+", "Rua do Trabalho 731", "Cabo de Santo Agostinho", "PE", "54505-185","89160821965", "145"
"Cau�", "Silva", "CauaAzevedoSilva@einrot.com", "10/8/1942", "M", "A+", "Rua Canta Galo 824", "Juazeiro", "BA", "48905-040","08089318576", "122"
"Luana", "Goncalves", "LuanaSouzaGoncalves@superrito.com", "10/2/1978", "F", "A+", "Avenida Cristo Rei 1259", "Goi�nia", "GO", "74673-030","98080573654", "91"
"Anna", "Cavalcanti", "AnnaRibeiroCavalcanti@rhyta.com", "3/28/1967", "F", "A-", "Beco Um 1434", "Porto Alegre", "RS", "90843-370","57426294862", "91"
"Fernanda", "Almeida", "FernandaSouzaAlmeida@superrito.com", "4/24/1991", "F", "A-", "Rua Francisco Rodrigues Dias 1736", "S�o Paulo", "SP", "04932-460","56554588299", "895"
"Caio", "Correia", "CaioFernandesCorreia@fleckens.hu", "10/17/1972", "M", "A+", "Rua C-4 906", "Belo Horizonte", "MG", "30590-363","74765989542", "895"
"Kai", "Oliveira", "KaiGomesOliveira@superrito.com", "1/26/1980", "M", "O+", "Rua Corrientes 873", "Sorocaba", "SP", "18046-795","30121288919", "389"
"Sophia", "Silva", "SophiaSantosSilva@teleworm.us", "3/17/1954", "F", "O+", "Beco Vista Alegre 1744", "Contagem", "MG", "32052-024","52454880270", "345"
"Rebeca", "Pinto", "RebecaPereiraPinto@cuvox.de", "10/3/1963", "F", "O+", "Rua Ray Monteiro 1653", "Manaus", "AM", "69074-040","12092556770", "91"
"Nicole", "Cardoso", "NicolePereiraCardoso@gustr.com", "4/21/1987", "F", "A+", "Rua Avelino Marques Chaves 469", "Bag�", "RS", "96415-260","04115488328", "145"
"Vit�ria", "Cavalcanti", "VitoriaLimaCavalcanti@einrot.com", "5/11/1951", "F", "B+", "Rua Comandante Briggs 742", "S�o Gon�alo", "RJ", "24412-580","15098445973", "986"
"Douglas", "Almeida", "DouglasAraujoAlmeida@superrito.com", "9/8/1979", "M", "B+", "Vila do Salgado 1319", "Recife", "PE", "52120-303","17232806906", "122"
"Erick", "Rocha", "ErickSousaRocha@jourrapide.com", "2/26/1972", "M", "A+", "Caminho C-4 1353", "Cama�ari", "BA", "42801-480","70074261665", "895"
"Daniel", "Gomes", "DanielFernandesGomes@cuvox.de", "2/4/1987", "M", "O+", "Rua Santa Margarida 127", "Tim�teo", "MG", "35184-080","91494401525", "45"
"Samuel", "Azevedo", "SamuelLimaAzevedo@fleckens.hu", "3/30/1979", "M", "O+", "Rua Cinquenta e Nove 540", "Montes Claros", "MG", "39402-138","39686595201", "956"
"Breno", "Silva", "BrenoCostaSilva@cuvox.de", "2/15/1966", "M", "O+", "Rua Olavo Bilac 1186", "Sete Lagoas", "MG", "35700-214","70753434598", "112"
"Kau�", "Santos", "KaueFerreiraSantos@gustr.com", "1/19/2001", "M", "O+", "Rua Alterosa 911", "Campo Grande", "MS", "79083-400","35903770380", "122"
"Luana", "Sousa", "LuanaCardosoSousa@cuvox.de", "10/15/1990", "F", "O+", "Rua Z 1910", "Caucaia", "CE", "61603-320","31767881002", "145"
"Alice", "Barros", "AliceRodriguesBarros@superrito.com", "2/20/1991", "F", "B+", "Rua C�cero Rodrigues de Moura 1683", "Maracana�", "CE", "61934-270","68761671002", "956"
"Paulo", "Araujo", "PauloSilvaAraujo@armyspy.com", "11/17/1946", "M", "B+", "Rua Genesis 1028", "S�o Paulo", "SP", "05605-010","61102630950", "98"
"Gabrielle", "Almeida", "GabrielleSouzaAlmeida@gustr.com", "6/30/1971", "F", "B+", "Rua Marcionilo Pedroza 1551", "Recife", "PE", "52051-330","34892258725", "91"
"Tom�s", "Araujo", "TomasDiasAraujo@rhyta.com", "4/30/1985", "M", "O+", "Rua Sangi Koba 778", "Itapevi", "SP", "06654-630","68252936300", "986"
"Estevan", "Pereira", "EstevanBarbosaPereira@armyspy.com", "9/17/1971", "M", "O-", "Rua Luiz de Sales Brasil 247", "Arapiraca", "AL", "57305-140","76538253113", "98"
"Felipe", "Barros", "FelipeRibeiroBarros@superrito.com", "8/23/1998", "M", "B+", "Rua Bom Pastor 1336", "S�o Paulo", "SP", "04203-052","07303995242", "389"
"Leonardo", "Pinto", "LeonardoCarvalhoPinto@gustr.com", "3/20/1957", "M", "AB+", "Rua Jos� Esperan�a 601", "Barra do Pira�", "RJ", "27130-100","89250771673", "112"
"Leila", "Azevedo", "LeilaCavalcantiAzevedo@cuvox.de", "5/15/1952", "F", "B+", "Rua Expedicion�rio Ant�nio Nascimento 479", "Belo Horizonte", "MG", "31155-450","10451289455", "956"
"Diogo", "Castro", "DiogoRibeiroCastro@dayrep.com", "3/29/1967", "M", "A+", "Travessa Primeira 1063", "Itaituba", "PA", "68181-220","58252020720", "231"
"Gabriel", "Rocha", "GabrielCardosoRocha@einrot.com", "9/4/1990", "M", "O+", "Jardim Universit�rio 1544", "Jo�o Pessoa", "PB", "58050-081","66221685800", "323"
"Bianca", "Ferreira", "BiancaDiasFerreira@armyspy.com", "12/24/1987", "F", "B+", "Rua Ministro Medeiros Mallet 83", "S�o Paulo", "SP", "05351-070","25303342697", "112"
"Ant�nio", "Alves", "AntonioGoncalvesAlves@superrito.com", "3/9/1933", "M", "B+", "Rua Yoshizo Shibata 1058", "Bauru", "SP", "17021-870","63252349361", "112"
"Giovana", "Araujo", "GiovanaGoncalvesAraujo@superrito.com", "12/26/1998", "F", "B+", "Rua Am�lia Montesano Capuano 1173", "S�o Paulo", "SP", "02340-060","98172562004", "145"
"Renan", "Cunha", "RenanSantosCunha@jourrapide.com", "2/18/1944", "M", "O+", "Rua Nhonh� Pires 1438", "Sorocaba", "SP", "18043-060","82224195281", "122"
"Yasmin", "Gomes", "YasminMeloGomes@jourrapide.com", "2/20/1940", "F", "B+", "Travessa Vasp 1792", "Mogi das Cruzes", "SP", "08761-320","28501637831", "91"
"Gustavo", "Rodrigues", "GustavoSousaRodrigues@fleckens.hu", "9/23/1996", "M", "O+", "Rua Onze de Junho 1174", "Novo Hamburgo", "RS", "93315-130","27144094076", "345"
"Isabelle", "Araujo", "IsabelleAzevedoAraujo@armyspy.com", "6/17/1981", "F", "O+", "Rua Vinte 818", "Rio de Janeiro", "RJ", "23565-510","59241672242", "231"
"Sofia", "Carvalho", "SofiaGomesCarvalho@cuvox.de", "3/28/1960", "F", "O+", "Rua da Pitombeira 558", "Recife", "PE", "51320-610","93127833350", "895"
"Mariana", "Rodrigues", "MarianaCardosoRodrigues@jourrapide.com", "7/24/1975", "F", "O+", "Rua Independ�ncia 114", "Ourinhos", "SP", "19905-145","53826916816", "112"
"Ryan", "Silva", "RyanCavalcantiSilva@dayrep.com", "5/15/1995", "M", "A+", "Rua Maria de F�tima Luz 963", "Paulista", "PE", "53403-755","19399400280", "145"
"F�bio", "Alves", "FabioRibeiroAlves@armyspy.com", "12/11/1971", "M", "O+", "Rua Setas 1117", "Uberl�ndia", "MG", "38410-520","89570823100", "986"
"Arthur", "Azevedo", "ArthurBarrosAzevedo@cuvox.de", "1/9/1949", "M", "B+", "Rua Professora Isabel 1497", "Santa Rita", "PB", "58303-330","62485375690", "98"
"Vinicius", "Rocha", "ViniciusBarrosRocha@gustr.com", "2/4/1945", "M", "B+", "Travessa S�o Luiz 533", "Itabuna", "BA", "45604-645","34640169787", "145"
"J�lia", "Gomes", "JuliaAzevedoGomes@jourrapide.com", "9/3/1998", "F", "A+", "Servid�o Man� Joca 1164", "Florian�polis", "SC", "88058-108","96911753120", "323"
"Vit�r", "Pereira", "VitorCunhaPereira@gustr.com", "8/30/1959", "M", "O+", "Rua Dezoito 1305", "V�rzea Grande", "MT", "78145-807","87826945089", "323"
"Tom�s", "Martins", "TomasAraujoMartins@jourrapide.com", "9/3/1959", "M", "B+", "Rua Expedicion�rio Brasileiro 202", "Macei�", "AL", "57015-290","99924531922", "122"
"Raissa", "Alves", "RaissaGomesAlves@jourrapide.com", "11/12/1960", "F", "A+", "Rua Geraldo de Abreu 1397", "Cabo Frio", "RJ", "28915-190","15079603364", "956"
"Kai", "Martins", "KaiRochaMartins@superrito.com", "5/6/1993", "M", "O+", "Vila Maestro Jos� Paulo Silva 1368", "Nova Friburgo", "RJ", "28613-170","29065940162", "345"
"Tiago", "Fernandes", "TiagoCostaFernandes@armyspy.com", "8/16/1991", "M", "B+", "Rua A-29 804", "Rondon�polis", "MT", "78735-278","80690771665", "91"
"Leila", "Castro", "LeilaBarbosaCastro@armyspy.com", "8/6/1986", "F", "O-", "Rua Cir�aco 1243", "Mossor�", "RN", "59631-370","05723639749", "45"
"Isabela", "Sousa", "IsabelaFernandesSousa@fleckens.hu@g.com", "7/26/1980", "F", "B+", "Travessa do Corrupio 1398", "Natal", "RN", "59090-475","91714451291", "145"
"Luan", "Martins", "LuanRochaMartins@cuvox.de", "2/2/1960", "M", "A+", "Rua Ester Pereira Guerra 500", "Itabira", "MG", "35900-230","86652751933", "231"
"J�lio", "Castro", "JulioGoncalvesCastro@cuvox.de", "1/17/1957", "M", "O+", "Rua Humberto de Campos 111", "Osasco", "SP", "06126-280","44429965552", "112"
"Lucas", "Correia", "LucasGoncalvesCorreia@jourrapide.com", "4/14/1962", "M", "B+", "Rua Pedro Carrilho 1817", "Jundia�", "SP", "13206-410","28141069373", "122"
"Rafael", "Ribeiro", "RafaelRochaRibeiro@cuvox.de", "12/8/2000", "M", "O+", "Rua Desembargador Pedro Lic�nio 564", "Belo Horizonte", "MG", "31310-650","12663639710", "956"
"Felipe", "Cardoso", "FelipeGoncalvesCardoso@rhyta.com", "5/27/1936", "M", "A-", "Rua Dom Carmine Rocco 1195", "S�o Jos� dos Campos", "SP", "12216-450","79868032075", "956"
"Tha�s", "Pinto", "ThaisRochaPinto@dayrep.com", "4/6/2004", "F", "O+", "Rua Manoel Afonso 1812", "Petr�polis", "RJ", "25660-085","04816060332", "345"
"Rafael", "Carvalho", "RafaelMeloCarvalho@superrito.com", "5/20/1943", "M", "A-", "Rua Campinas 115", "Jo�o Pessoa", "PB", "58078-554","76003926821", "895"
"Vit�r", "Oliveira", "VitorPereiraOliveira@superrito.com", "11/27/1969", "M", "B+", "Rua Jos� Alves Irineu 31", "Rondon�polis", "MT", "78715-466","28491393005", "98"
"Davi", "Pereira", "DaviMartinsPereira@gustr.com", "9/9/1953", "M", "A+", "Servid�o Francisco Paulino da Cruz 1991", "Florian�polis", "SC", "88056-540","14053444900", "956"
"Kauan", "Cavalcanti", "KauanSousaCavalcanti@armyspy.com", "11/28/1976", "M", "AB+", "Rua Maria Ol�via Rebou�as 237", "Itabuna", "BA", "45603-415","08587674064", "986"
"Marisa", "Pereira", "MarisaSantosPereira@fleckens.hu", "3/23/1975", "F", "O+", "Rua Terricelli 524", "Contagem", "MG", "32220-510","88874568363", "91"
"Luiza", "Melo", "LuizaCarvalhoMelo@cuvox.de", "3/24/1962", "F", "B+", "Alameda Araguaia 415", "S�o Caetano do Sul", "SP", "09560-580","26711658116", "956"
"Luis", "Goncalves", "LuisCavalcantiGoncalves@gustr.com", "10/24/1975", "M", "A+", "Travessa Luiz Carlos Esteves 1708", "Niter�i", "RJ", "24110-146","07247887516", "112"
"Leila", "Melo", "LeilaRodriguesMelo@armyspy.com", "2/2/1954", "F", "A+", "Rua Tr�s 202", "Cuiab�", "MT", "78060-068","20664677231", "122"
"Rebeca", "Dias", "RebecaSantosDias@teleworm.us", "10/20/1958", "F", "A+", "Rua Gamboa 1721", "S�o Jo�o de Meriti", "RJ", "25565-190","59293840537", "145"
"Tom�s", "Goncalves", "TomasBarrosGoncalves@fleckens.hu", "5/4/1953", "M", "O+", "Pra�a Catulo da Paix�o Cearense 1469", "S�o Lu�s", "MA", "65025-240","19374724421", "122"
"Eduarda", "Araujo", "EduardaCardosoAraujo@armyspy.com", "8/20/1994", "F", "O+", "Quadra Quadra 23 Conjunto E 1274", "Parano�", "DF", "71572-305","35574888700", "323"
"Kau�", "Araujo", "KaueSouzaAraujo@teleworm.us", "5/28/1932", "M", "B+", "Rua Professora Edina Rocha de Freitas 1680", "Ribeir�o Preto", "SP", "14091-020","30234973463", "986"
"J�lia", "Lima", "JuliaCavalcantiLima@gustr.com", "4/8/1977", "F", "O-", "Rua Mat�o 1327", "Guaruj�", "SP", "11454-560","81834099110", "895"
"Erick", "Castro", "ErickAlvesCastro@dayrep.com", "10/10/1991", "M", "O+", "Rua da Paz 643", "Rio de Janeiro", "RJ", "22730-075","96721383500", "45"
"Sophia", "Souza", "SophiaCastroSouza@fleckens.hu", "7/9/1954", "F", "B+", "Avenida Yervant Kissajikian 1280", "S�o Paulo", "SP", "04428-010","70674958730", "323"
"Isabelle", "Castro", "IsabelleGoncalvesCastro@teleworm.us", "12/19/1977", "F", "B+", "Pra�a do Pacificador 797", "Duque de Caxias", "RJ", "25020-060","35566998852", "98"
"Matheus", "Rocha", "MatheusCorreiaRocha@rhyta.com", "7/13/1976", "M", "O+", "Rua Tabocas 953", "Guarulhos", "SP", "07161-456","32910966739", "145"
"Kau�", "Rodrigues", "KauaRochaRodrigues@jourrapide.com", "1/27/2004", "M", "A+", "Travessa Domingos Aguirre 1881", "S�o Paulo", "SP", "02560-210","73828538029", "345"
"Victor", "Ferreira", "VictorPereiraFerreira@superrito.com", "1/14/1937", "M", "O+", "Rua das Palmeiras 1088", "Aragua�na", "TO", "77827-230","31312421240", "956"
"Davi", "Sousa", "DaviFerreiraSousa@superrito.com", "2/4/1964", "M", "A+", "Residencial Magn�lias 70", "S�o Lu�s", "MA", "65052-030","84356328302", "45"
"Sophia", "Cavalcanti", "SophiaSantosCavalcanti@rhyta.com", "3/13/1944", "F", "O+", "Rua Manoel Teixeira Patr�cio 134", "Sorocaba", "SP", "18046-160","22464846937", "986"
"Matilde", "Melo", "MatildeCarvalhoMelo@dayrep.com", "4/4/1938", "F", "B-", "Avenida Adhmar Vieira de Ara�jo 970", "Piraquara", "PR", "83302-310","47218792880", "956"
"T�nia", "Azevedo", "TaniaGomesAzevedo@rhyta.com", "3/30/1984", "F", "O+", "Rua Alo�sio R�go Barros 910", "Macei�", "AL", "57040-540","36353267398", "45"
"Kauan", "Fernandes", "KauanCardosoFernandes@superrito.com", "9/15/1937", "M", "B+", "Rua Ant�nio Tom�s de Oliveira 788", "Timon", "MA", "65633-090","73075506281", "345"
"Marisa", "Fernandes", "MarisaCostaFernandes@rhyta.com", "1/21/1991", "F", "B+", "Passagem Santa Rita 1302", "Bel�m", "PA", "66633-810","89431242877", "986"
"Ana", "Cunha", "AnaRodriguesCunha@jourrapide.com", "10/23/1964", "F", "O+", "Avenida Astolfo Dutra 759", "S�o Paulo", "SP", "03241-030","02487410558", "323"
"Caio", "Rodrigues", "CaioCastroRodrigues@cuvox.de", "12/3/1996", "M", "A+", "Rua Dez 1994", "Bragan�a Paulista", "SP", "12922-591","22934814769", "956"
"Alex", "Dias", "AlexPintoDias@armyspy.com", "9/2/2002", "M", "O-", "Rua Waldir Azevedo 306", "S�o Paulo", "SP", "05639-170","58924528599", "91"
"Isabela", "Fernandes", "IsabelaPintoFernandes@jourrapide.com@g.com", "8/18/1940", "F", "B+", "Rua Juta� 1062", "Joinville", "SC", "89227-132","00561583277", "345"
"J�lia", "Gomes", "JuliaSouzaGomes@dayrep.com", "2/14/1999", "F", "A+", "Avenida Atl�ntico 447", "Carapicu�ba", "SP", "06328-170","82929794500", "145"
"�gatha", "Oliveira", "AgathaBarbosaOliveira@gustr.com", "8/4/1996", "F", "B+", "Rua Vinte e Um de Abril 22", "Barretos", "SP", "14787-240","35240572097", "145"
"Vinicius", "Rocha", "ViniciusCavalcantiRocha@superrito.com", "9/29/1980", "M", "A+", "Rua JM-036 595", "An�polis", "GO", "75124-400","02648941207", "45"
"Marina", "Santos", "MarinaDiasSantos@cuvox.de", "12/27/1995", "F", "A+", "Rua Jos� Tonico 740", "Patos de Minas", "MG", "38701-725","93544267357", "231"
"Gustavo", "Santos", "GustavoGomesSantos@einrot.com", "1/6/1941", "M", "A-", "Rua Avelina Ferreira da Cunha 146", "Piracicaba", "SP", "13401-468","09212162460", "45"
"Breno", "Goncalves", "BrenoCavalcantiGoncalves@gustr.com", "2/19/1995", "M", "B+", "Rua Eduardo Faizano 1509", "Indaiatuba", "SP", "13338-730","47377146907", "45"
"Rafael", "Araujo", "RafaelPintoAraujo@jourrapide.com", "5/15/1965", "M", "O-", "Rua Soldado Jo�o Carlos de Oliveira J�nior 723", "Indaiatuba", "SP", "13345-120","38701362356", "122"
"Clara", "Gomes", "ClaraDiasGomes@dayrep.com", "9/28/1950", "F", "B+", "Rua Ant�nio Sim�es 1104", "Porto Alegre", "RS", "91520-160","21821842529", "145"
"Thiago", "Carvalho", "ThiagoRochaCarvalho@cuvox.de", "3/16/1958", "M", "AB+", "Rua Augusto Marin 1728", "Suzano", "SP", "08665-570","52511375168", "145"
"Kai", "Correia", "KaiRochaCorreia@jourrapide.com", "7/18/1945", "M", "A-", "Alameda Borac�ia 580", "Bebedouro", "SP", "14708-100","52356576169", "323"
"Kauan", "Silva", "KauanRodriguesSilva@teleworm.us", "10/24/1936", "M", "O+", "Rua Giacomo Celeguim 375", "Franco da Rocha", "SP", "07802-200","61551634805", "231"
"Thiago", "Santos", "ThiagoAzevedoSantos@cuvox.de", "10/10/1959", "M", "A-", "Vila Santa Terezinha 422", "Natal", "RN", "59031-290","43302459572", "91"
"Isabela", "Pinto", "IsabelaBarbosaPinto@einrot.com@g.com", "5/18/1948", "F", "O+", "Pra�a Conselho do Povo 1914", "Itu", "SP", "13313-509","90954898680", "45"
"Emilly", "Costa", "EmillyBarrosCosta@gustr.com", "5/1/1975", "F", "B+", "Rua Dom Paulo de Tarso Campos 713", "Valinhos", "SP", "13270-240","21425937390", "345"
"Vin�cius", "Rocha", "ViniciusAlmeidaRocha@einrot.com", "9/18/2003", "M", "A+", "Rua Aracaju 649", "Ipatinga", "MG", "35164-243","51685919650", "112"
"Paulo", "Correia", "PauloLimaCorreia@gustr.com", "10/12/1984", "M", "B+", "Rua Karin Rose 505", "Jandira", "SP", "06622-450","45245313006", "345"
"J�lia", "Araujo", "JuliaPintoAraujo@armyspy.com", "2/8/1964", "F", "AB+", "Rua Ant�nio Ferreira 1903", "Mar�lia", "SP", "17527-090","84231502676", "231"
"Lara", "Cavalcanti", "LaraFernandesCavalcanti@fleckens.hu", "5/18/1991", "F", "A-", "Rua Dois 572", "Petrolina", "PE", "56312-010","27717173522", "112"
"Julieta", "Carvalho", "JulietaCavalcantiCarvalho@cuvox.de", "9/23/1951", "F", "O+", "Rua Tebas 25", "Uberl�ndia", "MG", "38412-446","67660984730", "98"
"Ryan", "Rocha", "RyanSouzaRocha@gustr.com", "9/13/1964", "M", "B+", "Rua S�o Vicente de Paula 1849", "Volta Redonda", "RJ", "27283-800","33553373903", "91"
"Breno", "Ribeiro", "BrenoOliveiraRibeiro@cuvox.de", "7/25/1964", "M", "B+", "Rua das Cravinas 123", "Franco da Rocha", "SP", "07830-524","51036278689", "45"
"Kau�", "Melo", "KauaFernandesMelo@armyspy.com", "7/11/1960", "M", "A+", "Rua Guerino Buzato 1595", "Francisco Beltr�o", "PR", "85606-250","33832503188", "91"
"Ryan", "Gomes", "RyanAlmeidaGomes@einrot.com", "4/4/1976", "M", "B+", "Travessa Manuel 1546", "Fortaleza", "CE", "60833-010","29608422787", "45"
"Leonardo", "Oliveira", "LeonardoCavalcantiOliveira@dayrep.com", "9/19/1964", "M", "O+", "Rua Cento e Um 1875", "Alvorada", "RS", "94858-230","40842406484", "145"
"Tha�s", "Sousa", "ThaisDiasSousa@jourrapide.com", "7/13/1992", "F", "A+", "Rua Bel�m 1508", "Cariacica", "ES", "29148-396","33450383663", "145"
"Joao", "Barros", "JoaoSousaBarros@jourrapide.com", "8/19/1938", "M", "O+", "Rua S�o Carlos 515", "Porto Alegre", "RS", "90220-121","75912280560", "231"
"Bianca", "Almeida", "BiancaPereiraAlmeida@superrito.com", "7/29/1987", "F", "B+", "Quadra I 1028", "Paulo Afonso", "BA", "48605-030","42091557218", "122"
"Tom�s", "Fernandes", "TomasCunhaFernandes@jourrapide.com", "6/25/1996", "M", "B+", "Rua Soldado Jo�o de Oliveira 495", "S�o Paulo", "SP", "05140-000","56252476331", "91"
"Ana", "Fernandes", "AnaCastroFernandes@rhyta.com", "8/19/1933", "F", "A+", "Rua Boacu 1070", "S�o Gon�alo", "RJ", "24465-220","87489863805", "98"
"J�lio", "Azevedo", "JulioMeloAzevedo@jourrapide.com", "8/22/2000", "M", "A+", "Rua Jos� Ferreira Nunes Bender 1920", "Guarapuava", "PR", "85060-630","44907468903", "145"
"Breno", "Barbosa", "BrenoCunhaBarbosa@einrot.com", "10/21/1980", "M", "O+", "Rua Pardal 407", "Ipatinga", "MG", "35162-514","35509164182", "145"
"Rafaela", "Correia", "RafaelaPintoCorreia@teleworm.us", "11/27/1934", "F", "B+", "Quadra Quadra 011 Conjunto B 1135", "Gama", "DF", "72410-602","83808658126", "112"
"Tiago", "Castro", "TiagoOliveiraCastro@gustr.com", "3/28/2003", "M", "B-", "Vila Itamarati 104", "Bel�m", "PA", "66033-475","93294305540", "345"
"Let�cia", "Ribeiro", "LeticiaMeloRibeiro@teleworm.us", "2/5/2003", "F", "O+", "Rua General Mascarenhas 1372", "Contagem", "MG", "32115-090","36886963015", "323"
"F�bio", "Ferreira", "FabioMeloFerreira@fleckens.hu", "7/18/1938", "M", "O+", "Rua Princesa Isabel 1994", "Ponta Grossa", "PR", "84015-215","68478243364", "45"
"Gabrielly", "Rocha", "GabriellyMeloRocha@gustr.com", "4/5/1940", "F", "B+", "Rua General Castrioto 1059", "Niter�i", "RJ", "24110-160","99871979738", "956"
"Mateus", "Barbosa", "MateusPintoBarbosa@rhyta.com", "8/14/1948", "M", "O+", "Pra�a Jos� de Vasconcelos 1678", "Caruaru", "PE", "55002-415","53992310930", "895"
"Leila", "Rodrigues", "LeilaSousaRodrigues@rhyta.com", "5/17/1998", "F", "O+", "Rua Duque de Caxias 782", "Guarulhos", "SP", "07191-010","99362625229", "145"
"Kauan", "Almeida", "KauanAzevedoAlmeida@teleworm.us", "1/15/1973", "M", "O+", "Rua das Cam�lias 1104", "Araras", "SP", "13602-021","09303413768", "98"
"Luiz", "Azevedo", "LuizCavalcantiAzevedo@einrot.com", "12/8/2000", "M", "B+", "Rua Virg�lio de Barros Toledo 1277", "S�o Paulo", "SP", "05398-150","04215279607", "231"
"Lucas", "Silva", "LucasAzevedoSilva@rhyta.com", "2/23/1969", "M", "O+", "Rua Maestro Arnaldo Salpiter 535", "Crato", "CE", "63105-400","65714024168", "145"
"Emilly", "Cardoso", "EmillyGomesCardoso@superrito.com", "6/9/1989", "F", "O+", "Rua Felipe Hausmann 979", "Blumenau", "SC", "89074-070","35166644018", "145"
"Luiz", "Castro", "LuizAlvesCastro@fleckens.hu", "12/26/1946", "M", "B+", "Pra�a Bol�via 19", "Rio de Janeiro", "RJ", "23035-275","32218355582", "956"
"Marisa", "Gomes", "MarisaMartinsGomes@einrot.com", "12/19/2001", "F", "A+", "Rua Nova Divin�ia 1257", "Jaboat�o dos Guararapes", "PE", "54330-410","28966872204", "45"
